Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,60.550000,-80.700000,0.000000,top
C2,10uF,C_0402_1005Metric,70.150000,-80.700000,0.000000,top
C3,10uF,C_0402_1005Metric,71.950000,-80.700000,180.000000,top
C4,10uF,C_0402_1005Metric,67.450000,-93.150000,0.000000,top
C5,10uF,C_0402_1005Metric,48.550000,-80.700000,0.000000,top
C6,10uF,C_0402_1005Metric,62.350000,-80.700000,180.000000,top
C7,10uF,C_0402_1005Metric,50.400000,-80.700000,180.000000,top
C8,10uF,C_0402_1005Metric,65.250000,-31.770000,-90.000000,top
C9,10uF,C_0402_1005Metric,56.869999,-34.500000,0.000000,top
C10,100nF,C_0402_1005Metric,57.150000,-80.700000,0.000000,top
H1,Standoff,SMTSO25xx,72.150000,-38.650000,0.000000,top
H2,Standoff,SMTSO25xx,47.950000,-38.650000,0.000000,top
H3,Standoff,SMTSO25xx,72.100000,-62.800000,0.000000,top
H4,Standoff,SMTSO25xx,48.000000,-62.800000,0.000000,top
J1,miniPCIe,BUS_PCI_Express_Mini_Dual,60.050000,-86.700000,0.000000,top
R1,10k,R_0402_1005Metric,55.310000,-80.710000,0.000000,top
U1,AMS1117-1.5,SOT-223-3_TabPin2,60.000000,-31.700000,0.000000,top
